"arc_length","u","v","p"
0.43,-0.167732,0.0584714,-1.16559
0.431,-0.167992,0.057664,-1.14423
0.432,-0.168253,0.0568567,-1.12287
0.433,-0.168513,0.0560493,-1.10152
0.434,-0.168774,0.055242,-1.08016
0.435,-0.169034,0.0544346,-1.0588
0.436,-0.169295,0.0536272,-1.03745
0.437,-0.169555,0.0528199,-1.01609
0.438,-0.169811,0.0520076,-0.994774
0.439,-0.17006,0.0511904,-0.973501
0.44,-0.17031,0.0503732,-0.952229
0.441,-0.17056,0.0495559,-0.930956
0.442,-0.17081,0.0487387,-0.909684
0.443,-0.171059,0.0479215,-0.888412
0.444,-0.171309,0.0471043,-0.867139
0.445,-0.171559,0.0462871,-0.845867
0.446,-0.171801,0.045464,-0.824644
0.447,-0.172038,0.0446382,-0.803445
0.448,-0.172276,0.0438124,-0.782245
0.449,-0.172514,0.0429866,-0.761046
0.45,-0.172752,0.0421608,-0.739847
0.451,-0.17299,0.041335,-0.718647
0.452,-0.173228,0.0405092,-0.697447
0.453,-0.173466,0.0396834,-0.676248
0.454,-0.173693,0.0388511,-0.655103
0.455,-0.173918,0.0380179,-0.633965
0.456,-0.174143,0.0371848,-0.612827
0.457,-0.174369,0.0363516,-0.59169
0.458,-0.174594,0.0355185,-0.570552
0.459,-0.174819,0.0346853,-0.549415
0.46,-0.175044,0.0338521,-0.528277
0.461,-0.175269,0.0330186,-0.507143
0.462,-0.17548,0.0321793,-0.486056
0.463,-0.175691,0.03134,-0.46497
0.464,-0.175902,0.0305008,-0.443884
0.465,-0.176114,0.0296615,-0.422797
0.466,-0.176325,0.0288222,-0.401711
0.467,-0.176536,0.0279829,-0.380624
0.468,-0.176748,0.0271436,-0.359538
0.469,-0.176955,0.0263031,-0.338462
0.47,-0.177151,0.0254589,-0.317416
0.471,-0.177348,0.0246148,-0.296371
0.472,-0.177544,0.0237706,-0.275325
0.473,-0.17774,0.0229264,-0.25428
0.474,-0.177936,0.0220822,-0.233234
0.475,-0.178132,0.021238,-0.212188
0.476,-0.178329,0.0203938,-0.191142
0.477,-0.178518,0.0195481,-0.17011
0.478,-0.178698,0.0187002,-0.149095
0.479,-0.178878,0.0178524,-0.128079
0.48,-0.179058,0.0170046,-0.107064
0.481,-0.179238,0.0161567,-0.0860488
0.482,-0.179418,0.0153089,-0.0650337
0.483,-0.179598,0.014461,-0.0440181
0.484,-0.179778,0.0136132,-0.023003
0.485,-0.179947,0.0127638,-0.00199996
0.486,-0.180109,0.0119135,0.0189949
0.487,-0.180272,0.0110632,0.0399898
0.488,-0.180434,0.0102129,0.0609853
0.489,-0.180597,0.00936267,0.0819801
0.49,-0.180759,0.00851237,0.102976
0.491,-0.180921,0.0076621,0.123971
0.492,-0.181084,0.0068118,0.144966
0.493,-0.181231,0.00596054,0.165953
0.494,-0.181375,0.00510904,0.186938
0.495,-0.181518,0.00425752,0.207923
0.496,-0.181662,0.00340603,0.228908
0.497,-0.181805,0.00255451,0.249893
0.498,-0.181949,0.00170301,0.270878
0.499,-0.182092,0.000851494,0.291863
0.5,-0.182236,-1.48277e-12,0.312848
0.501,-0.182359,-0.000851494,0.333833
0.502,-0.182482,-0.00170299,0.354818
0.503,-0.182606,-0.00255453,0.375804
0.504,-0.182729,-0.00340603,0.396789
0.505,-0.182852,-0.00425752,0.417774
0.506,-0.182975,-0.00510902,0.438758
0.507,-0.183099,-0.00596056,0.459744
0.508,-0.183218,-0.00681183,0.480731
0.509,-0.183319,-0.0076621,0.501726
0.51,-0.183421,-0.00851237,0.522721
0.511,-0.183522,-0.00936265,0.543716
0.512,-0.183624,-0.010213,0.564712
0.513,-0.183725,-0.0110632,0.585707
0.514,-0.183827,-0.0119135,0.606702
0.515,-0.183928,-0.0127638,0.627696
0.516,-0.184021,-0.0136131,0.648699
0.517,-0.184099,-0.014461,0.669715
0.518,-0.184177,-0.0153089,0.69073
0.519,-0.184255,-0.0161567,0.711745
0.52,-0.184333,-0.0170045,0.73276
0.521,-0.184411,-0.0178524,0.753777
0.522,-0.184489,-0.0187002,0.774792
0.523,-0.184568,-0.0195481,0.795807
0.524,-0.184632,-0.0203938,0.816839
0.525,-0.184685,-0.021238,0.837884
0.526,-0.184738,-0.0220822,0.858931
0.527,-0.184791,-0.0229264,0.879976
0.528,-0.184844,-0.0237706,0.901022
0.529,-0.184897,-0.0246147,0.922067
0.53,-0.18495,-0.0254589,0.943112
0.531,-0.185003,-0.0263031,0.964159
0.532,-0.185036,-0.0271436,0.985235
0.533,-0.185063,-0.0279829,1.00632
0.534,-0.185089,-0.0288222,1.02741
0.535,-0.185116,-0.0296615,1.04849
0.536,-0.185142,-0.0305008,1.06958
0.537,-0.185168,-0.03134,1.09067
0.538,-0.185195,-0.0321793,1.11175
0.539,-0.185221,-0.0330186,1.13284
0.54,-0.185221,-0.0338522,1.15397
0.541,-0.185219,-0.0346853,1.17511
0.542,-0.185217,-0.0355185,1.19625
0.543,-0.185215,-0.0363516,1.21739
0.544,-0.185212,-0.0371848,1.23852
0.545,-0.18521,-0.038018,1.25966
0.546,-0.185208,-0.0388511,1.2808
0.547,-0.185202,-0.0396834,1.30194
0.548,-0.18517,-0.0405092,1.32314
0.549,-0.185137,-0.041335,1.34434
0.55,-0.185105,-0.0421608,1.36554
0.551,-0.185072,-0.0429866,1.38674
0.552,-0.18504,-0.0438124,1.40794
0.553,-0.185007,-0.0446382,1.42914
0.554,-0.184975,-0.045464,1.45034
0.555,-0.184932,-0.0462871,1.47156
0.556,-0.184868,-0.0471043,1.49284
0.557,-0.184803,-0.0479215,1.51411
0.558,-0.184738,-0.0487388,1.53538
0.559,-0.184673,-0.049556,1.55665
0.56,-0.184608,-0.0503732,1.57793
0.561,-0.184544,-0.0511904,1.5992
0.562,-0.184479,-0.0520076,1.62047
0.563,-0.184397,-0.0528199,1.64179
0.564,-0.184298,-0.0536272,1.66314
0.565,-0.184199,-0.0544346,1.6845
0.566,-0.184099,-0.0552419,1.70586
0.567,-0.184,-0.0560493,1.72721
0.568,-0.183901,-0.0568567,1.74857
0.569,-0.183802,-0.057664,1.76993
0.57,-0.183703,-0.0584714,1.79128
0.571,-0.183578,-0.0592711,1.81271
0.572,-0.183443,-0.0600674,1.83416
0.573,-0.183307,-0.0608637,1.85561
0.574,-0.183171,-0.0616599,1.87706
0.575,-0.183036,-0.0624562,1.89852
0.576,-0.1829,-0.0632524,1.91997
0.577,-0.182765,-0.0640487,1.94142
0.578,-0.182629,-0.064845,1.96288
0.579,-0.182459,-0.0656304,1.98442
0.58,-0.182285,-0.0664143,2.00599
0.581,-0.182111,-0.0671982,2.02755
0.582,-0.181936,-0.0679822,2.04911
0.583,-0.181762,-0.0687661,2.07067
0.584,-0.181588,-0.0695499,2.09223
0.585,-0.181413,-0.0703338,2.11379
0.586,-0.181236,-0.0711169,2.13536
0.587,-0.181021,-0.0718872,2.15704
0.588,-0.180806,-0.0726574,2.17872
0.589,-0.18059,-0.0734277,2.20041
0.59,-0.180375,-0.074198,2.22209
0.591,-0.18016,-0.0749683,2.24377
0.592,-0.179944,-0.0757385,2.26545
0.593,-0.179729,-0.0765088,2.28714
0.594,-0.179503,-0.0772753,2.30885
0.595,-0.179244,-0.0780307,2.33067
0.596,-0.178985,-0.0787861,2.35248
0.597,-0.178726,-0.0795414,2.3743
0.598,-0.178468,-0.0802968,2.39612
0.599,-0.178209,-0.0810521,2.41793
0.6,-0.17795,-0.0818075,2.43975
0.601,-0.177692,-0.0825629,2.46157
0.602,-0.177413,-0.0833112,2.48345
0.603,-0.177108,-0.0840503,2.50541
0.604,-0.176804,-0.0847895,2.52738
0.605,-0.176499,-0.0855286,2.54934
0.606,-0.176194,-0.0862678,2.57131
0.607,-0.17589,-0.0870069,2.59327
0.608,-0.175585,-0.0877461,2.61524
0.609,-0.175281,-0.0884853,2.6372
0.61,-0.174946,-0.0892135,2.65927
0.611,-0.174593,-0.0899352,2.68139
0.612,-0.17424,-0.0906568,2.70352
0.613,-0.173887,-0.0913785,2.72565
0.614,-0.173534,-0.0921002,2.74778
0.615,-0.173181,-0.0928218,2.76991
0.616,-0.172828,-0.0935435,2.79203
0.617,-0.172475,-0.0942651,2.81416
0.618,-0.17208,-0.0949715,2.83643
0.619,-0.171676,-0.0956744,2.85874
0.62,-0.171272,-0.0963772,2.88104
0.621,-0.170868,-0.0970801,2.90335
