"arc_length","p","u","v"
3.45,nan,nan,nan
3.456,nan,nan,nan
3.462,nan,nan,nan
3.468,nan,nan,nan
3.474,nan,nan,nan
3.48,nan,nan,nan
3.486,nan,nan,nan
3.492,nan,nan,nan
3.498,nan,nan,nan
3.504,-0.225938,0.00845255,5.6514e-05
3.51,-0.225594,0.0211313,0.000141284
3.516,-0.22525,0.0338101,0.000226055
3.522,-0.224905,0.046489,0.000310826
3.528,-0.224561,0.0591677,0.000395597
3.534,-0.224122,0.0725357,0.000651021
3.54,-0.223637,0.0862322,0.00098774
3.546,-0.223152,0.0999285,0.00132445
3.552,-0.222668,0.113625,0.00166117
3.558,-0.222183,0.127321,0.00199789
3.564,-0.221617,0.141431,0.00248961
3.57,-0.220947,0.15607,0.0031798
3.576,-0.220277,0.170708,0.00386998
3.582,-0.219607,0.185347,0.00456017
3.588,-0.218937,0.199986,0.00525035
3.594,-0.218267,0.214625,0.00594053
3.6,-0.217429,0.230017,0.00705471
3.606,-0.216581,0.245459,0.008197
3.612,-0.215733,0.260901,0.00933928
3.618,-0.214885,0.276343,0.0104816
3.624,-0.214036,0.291786,0.0116239
3.63,-0.213157,0.307323,0.0128508
3.636,-0.212117,0.323354,0.0145156
3.642,-0.211077,0.339385,0.0161805
3.648,-0.210037,0.355415,0.0178453
3.654,-0.208997,0.371446,0.0195101
3.66,-0.207957,0.387477,0.0211749
3.666,-0.206896,0.403536,0.0228936
3.672,-0.20565,0.419858,0.0251113
3.678,-0.204404,0.43618,0.027329
3.684,-0.203157,0.452503,0.0295468
3.69,-0.201911,0.468825,0.0317645
3.696,-0.200664,0.485147,0.0339822
3.702,-0.199418,0.50147,0.0362
3.708,-0.198005,0.517731,0.0388033
3.714,-0.196532,0.533969,0.0415495
3.72,-0.195058,0.550207,0.0442957
3.726,-0.193585,0.566446,0.0470419
3.732,-0.192111,0.582684,0.0497881
3.738,-0.190638,0.598922,0.0525343
3.744,-0.189153,0.615138,0.0552997
3.75,-0.187432,0.630855,0.0584871
3.756,-0.18571,0.646572,0.0616745
3.762,-0.183989,0.662289,0.0648619
3.768,-0.182267,0.678006,0.0680493
3.774,-0.180545,0.693723,0.0712366
3.78,-0.178824,0.70944,0.074424
3.786,-0.177096,0.725134,0.0776181
3.792,-0.175111,0.739863,0.0810973
3.798,-0.173126,0.754592,0.0845766
3.804,-0.171141,0.769321,0.0880558
3.81,-0.169156,0.78405,0.091535
3.816,-0.167171,0.798778,0.0950142
3.822,-0.165186,0.813507,0.0984934
3.828,-0.163201,0.828236,0.101973
3.834,-0.161044,0.842027,0.105512
3.84,-0.158794,0.855317,0.109085
3.846,-0.156545,0.868607,0.112657
3.852,-0.154296,0.881897,0.116229
3.858,-0.152046,0.895187,0.119802
3.864,-0.149797,0.908476,0.123374
3.87,-0.147547,0.921766,0.126946
3.876,-0.145298,0.935056,0.130519
3.882,-0.142826,0.946685,0.133972
3.888,-0.140332,0.958153,0.137413
3.894,-0.137839,0.96962,0.140854
3.9,-0.135345,0.981088,0.144296
3.906,-0.132851,0.992556,0.147737
3.912,-0.130358,1.00402,0.151179
3.918,-0.127864,1.01549,0.15462
3.924,-0.125371,1.02696,0.158061
3.93,-0.122721,1.03679,0.16123
3.936,-0.120029,1.04617,0.164323
3.942,-0.117336,1.05555,0.167416
3.948,-0.114644,1.06493,0.170509
3.954,-0.111952,1.07431,0.173602
3.96,-0.109259,1.08368,0.176695
3.966,-0.106567,1.09306,0.179788
3.972,-0.103874,1.10244,0.182881
3.978,-0.101149,1.11127,0.185842
3.984,-0.0983257,1.11844,0.188409
3.99,-0.0955021,1.12562,0.190975
3.996,-0.0926786,1.13279,0.193542
4.002,-0.0898551,1.13996,0.196108
4.008,-0.0870316,1.14714,0.198675
4.014,-0.084208,1.15431,0.201242
4.02,-0.0813845,1.16148,0.203808
4.026,-0.078561,1.16866,0.206375
4.032,-0.0757239,1.1752,0.208755
4.038,-0.0728535,1.18021,0.21068
4.044,-0.0699831,1.18522,0.212605
4.05,-0.0671128,1.19023,0.214531
4.056,-0.0642425,1.19523,0.216456
4.062,-0.0613721,1.20024,0.218381
4.068,-0.0585018,1.20525,0.220306
4.074,-0.0556314,1.21026,0.222232
4.08,-0.0527611,1.21527,0.224157
4.086,-0.0498907,1.22028,0.226082
4.092,-0.0470522,1.22353,0.227407
4.098,-0.0442178,1.22655,0.228653
4.104,-0.0413835,1.22958,0.229898
4.11,-0.0385492,1.2326,0.231143
4.116,-0.0357149,1.23562,0.232389
4.122,-0.0328806,1.23864,0.233634
4.128,-0.0300462,1.24167,0.23488
4.134,-0.0272119,1.24469,0.236125
4.14,-0.0243776,1.24771,0.23737
4.146,-0.0215438,1.25073,0.238613
4.152,-0.0188352,1.25204,0.239205
4.158,-0.0161265,1.25336,0.239798
4.164,-0.0134178,1.25467,0.24039
4.17,-0.0107092,1.25599,0.240982
