"arc_length","p","u","v"
7.872,0.136943,0.800701,0
7.884,0.136454,0.801634,0
7.896,0.135965,0.802567,0
7.908,0.135477,0.8035,0
7.92,0.134989,0.804423,0
7.932,0.134504,0.805323,0
7.944,0.134019,0.806223,0
7.956,0.133534,0.807123,0
7.968,0.133049,0.808024,0
7.98,0.132564,0.808924,0
7.992,0.132079,0.809824,0
8.004,0.131596,0.810709,0
8.016,0.131115,0.811577,0
8.028,0.130633,0.812446,0
8.04,0.130152,0.813315,0
8.052,0.129671,0.814183,0
8.064,0.12919,0.815052,0
8.076,0.128709,0.815921,0
8.088,0.128231,0.816768,0
8.1,0.127754,0.817606,0
8.112,0.127278,0.818445,0
8.124,0.126801,0.819283,0
8.136,0.126324,0.820121,0
8.148,0.125847,0.820959,0
8.16,0.12537,0.821798,0
8.172,0.124897,0.82261,0
8.184,0.124425,0.823419,0
8.196,0.123952,0.824228,0
8.208,0.12348,0.825037,0
8.22,0.123007,0.825846,0
8.232,0.122535,0.826655,0
8.244,0.122063,0.827461,0
8.256,0.121595,0.828242,0
8.268,0.121127,0.829023,0
8.28,0.120659,0.829803,0
8.292,0.120191,0.830584,0
8.304,0.119723,0.831365,0
8.316,0.119255,0.832145,0
8.328,0.118788,0.832918,0
8.34,0.118324,0.833672,0
8.352,0.117861,0.834425,0
8.364,0.117397,0.835179,0
8.376,0.116934,0.835932,0
8.388,0.11647,0.836686,0
8.4,0.116007,0.837439,0
8.412,0.115545,0.83818,0
8.424,0.115086,0.838907,0
8.436,0.114628,0.839635,0
8.448,0.114169,0.840362,0
8.46,0.11371,0.841089,0
8.472,0.113251,0.841817,0
8.484,0.112792,0.842544,0
8.496,0.112336,0.843254,0
8.508,0.111881,0.843956,0
8.52,0.111427,0.844658,0
8.532,0.110973,0.84536,0
8.544,0.110518,0.846063,0
8.556,0.110064,0.846765,0
8.568,0.10961,0.847467,0
8.58,0.109159,0.848148,0
8.592,0.108709,0.848826,0
8.604,0.10826,0.849503,0
8.616,0.10781,0.850181,0
8.628,0.10736,0.850859,0
8.64,0.10691,0.851537,0
8.652,0.106461,0.852213,0
8.664,0.106015,0.852868,0
8.676,0.10557,0.853522,0
8.688,0.105125,0.854176,0
8.7,0.10468,0.854831,0
8.712,0.104235,0.855485,0
8.724,0.103789,0.85614,0
8.736,0.103345,0.856788,0
8.748,0.102905,0.85742,0
8.76,0.102464,0.858052,0
8.772,0.102023,0.858684,0
8.784,0.101583,0.859316,0
8.796,0.101142,0.859948,0
8.808,0.100701,0.86058,0
8.82,0.100262,0.861202,0
8.832,0.0998262,0.861813,0
8.844,0.09939,0.862423,0
8.856,0.0989538,0.863033,0
8.868,0.0985176,0.863644,0
8.88,0.0980814,0.864254,0
8.892,0.0976452,0.864864,0
8.904,0.0972118,0.865461,0
8.916,0.0967801,0.866051,0
8.928,0.0963483,0.86664,0
8.94,0.0959165,0.86723,0
8.952,0.0954847,0.867819,0
8.964,0.0950529,0.868409,0
8.976,0.0946211,0.868998,0
8.988,0.094193,0.869571,0
9,0.0937656,0.870141,0
9.012,0.0933381,0.87071,0
9.024,0.0929107,0.87128,0
9.036,0.0924833,0.871849,0
9.048,0.0920559,0.872419,0
9.06,0.0916286,0.872988,0
9.072,0.0912054,0.873538,0
9.084,0.0907823,0.874088,0
9.096,0.0903592,0.874639,0
9.108,0.089936,0.875189,0
9.12,0.0895129,0.875739,0
9.132,0.0890898,0.87629,0
9.144,0.0886675,0.876836,0
9.156,0.0882486,0.877368,0
9.168,0.0878296,0.877899,0
9.18,0.0874107,0.878431,0
9.192,0.0869917,0.878963,0
9.204,0.0865728,0.879495,0
9.216,0.0861539,0.880027,0
9.228,0.0857366,0.880551,0
9.24,0.0853218,0.881065,0
9.252,0.0849069,0.881579,0
9.264,0.0844921,0.882093,0
9.276,0.0840773,0.882607,0
9.288,0.0836624,0.883121,0
9.3,0.0832476,0.883635,0
9.312,0.0828352,0.884139,0
9.324,0.0824244,0.884635,0
9.336,0.0820135,0.885132,0
9.348,0.0816027,0.885629,0
9.36,0.0811919,0.886126,0
9.372,0.0807811,0.886623,0
9.384,0.0803703,0.88712,0
9.396,0.0799626,0.887604,0
9.408,0.0795557,0.888084,0
9.42,0.0791488,0.888564,0
9.432,0.0787418,0.889045,0
9.444,0.078335,0.889525,0
9.456,0.0779281,0.890006,0
9.468,0.0775211,0.890486,0
9.48,0.077118,0.890951,0
9.492,0.0767149,0.891415,0
9.504,0.0763118,0.89188,0
9.516,0.0759088,0.892345,0
9.528,0.0755057,0.892809,0
9.54,0.0751026,0.893274,0
9.552,0.0747002,0.893736,0
9.564,0.0743008,0.894185,0
9.576,0.0739015,0.894634,0
9.588,0.0735021,0.895084,0
9.6,0.0731027,0.895533,0
9.612,0.0727034,0.895982,0
9.624,0.072304,0.896432,0
9.636,0.071906,0.896876,0
9.648,0.0715103,0.89731,0
9.66,0.0711145,0.897745,0
9.672,0.0707188,0.89818,0
9.684,0.070323,0.898615,0
9.696,0.0699273,0.899049,0
9.708,0.0695315,0.899484,0
9.72,0.0691378,0.899911,0
9.732,0.0687456,0.900331,0
9.744,0.0683533,0.900752,0
9.756,0.0679611,0.901173,0
9.768,0.0675689,0.901593,0
9.78,0.0671766,0.902014,0
9.792,0.0667844,0.902435,0
9.804,0.0663948,0.902845,0
9.816,0.066006,0.903252,0
9.828,0.0656172,0.903659,0
9.84,0.0652283,0.904066,0
9.852,0.0648395,0.904473,0
9.864,0.0644507,0.904881,0
9.876,0.0640619,0.905288,0
9.888,0.0636763,0.905682,0
9.9,0.0632908,0.906076,0
9.912,0.0629053,0.90647,0
9.924,0.0625198,0.906865,0
9.936,0.0621343,0.907259,0
9.948,0.0617488,0.907653,0
9.96,0.0613638,0.908045,0
9.972,0.0609815,0.908426,0
9.984,0.0605992,0.908808,0
9.996,0.0602169,0.90919,0
10.008,0.0598346,0.909571,0
