"arc_length","u","v","p"
0.247,-0.133196,0.169064,-0.0222365
0.248,-0.133676,0.169109,-0.0220366
0.249,-0.134156,0.169153,-0.0218367
0.25,-0.134636,0.169198,-0.0216368
0.251,-0.135106,0.16913,-0.0215469
0.252,-0.135576,0.169062,-0.0214569
0.253,-0.136046,0.168994,-0.0213669
0.254,-0.136516,0.168925,-0.0212769
0.255,-0.136986,0.168857,-0.021187
0.256,-0.137456,0.168789,-0.021097
0.257,-0.137926,0.168721,-0.021007
0.258,-0.138396,0.168653,-0.0209171
0.259,-0.138866,0.168585,-0.0208271
0.26,-0.139337,0.168517,-0.0207371
0.261,-0.139807,0.168448,-0.0206472
0.262,-0.140277,0.16838,-0.0205572
0.263,-0.140747,0.168312,-0.0204672
0.264,-0.141217,0.168244,-0.0203772
0.265,-0.141687,0.168176,-0.0202873
0.266,-0.142157,0.168108,-0.0201973
0.267,-0.142627,0.16804,-0.0201073
0.268,-0.143097,0.167971,-0.0200174
0.269,-0.143567,0.167903,-0.0199274
0.27,-0.144037,0.167835,-0.0198374
0.271,-0.144507,0.167767,-0.0197475
0.272,-0.144977,0.167699,-0.0196575
0.273,-0.145447,0.167631,-0.0195675
0.274,-0.145918,0.167563,-0.0194775
0.275,-0.146388,0.167495,-0.0193876
0.276,-0.146858,0.167426,-0.0192976
0.277,-0.147328,0.167358,-0.0192076
0.278,-0.147798,0.16729,-0.0191177
0.279,-0.148268,0.167222,-0.0190277
0.28,-0.148738,0.167154,-0.0189377
0.281,-0.149208,0.167086,-0.0188478
0.282,-0.149663,0.166938,-0.0188293
0.283,-0.150112,0.166765,-0.0188346
0.284,-0.150562,0.166591,-0.0188399
0.285,-0.151012,0.166417,-0.0188452
0.286,-0.151461,0.166244,-0.0188506
0.287,-0.151911,0.16607,-0.0188559
0.288,-0.152361,0.165896,-0.0188612
0.289,-0.15281,0.165722,-0.0188665
0.29,-0.15326,0.165549,-0.0188718
0.291,-0.153709,0.165375,-0.0188772
0.292,-0.154159,0.165201,-0.0188825
0.293,-0.154609,0.165028,-0.0188878
0.294,-0.155058,0.164854,-0.0188931
0.295,-0.155508,0.16468,-0.0188985
0.296,-0.155958,0.164507,-0.0189038
0.297,-0.156407,0.164333,-0.0189091
0.298,-0.156857,0.164159,-0.0189144
0.299,-0.157306,0.163985,-0.0189198
0.3,-0.157756,0.163812,-0.0189251
0.301,-0.158206,0.163638,-0.0189304
0.302,-0.158655,0.163464,-0.0189357
0.303,-0.159105,0.163291,-0.0189411
0.304,-0.159555,0.163117,-0.0189464
0.305,-0.160004,0.162943,-0.0189517
0.306,-0.160454,0.162769,-0.018957
0.307,-0.160903,0.162596,-0.0189623
0.308,-0.161353,0.162422,-0.0189677
0.309,-0.161803,0.162248,-0.018973
0.31,-0.162252,0.162075,-0.0189783
